instance,|R|,|T|,method,config,variables,clauses,timeout,status,objective,time,up,conflicts,gap
ulysses22,26,5,mip,MIP,,,Yes,Feasible,21600,3600.00,,,5.83%
ulysses22,26,5,maxsat,SN,608921.0,959384.0,No,Optimal,22860,2829.80,12627723143,72489551,0.00%
ulysses22,26,5,maxsat,SWC,394580.0,1564275.0,No,Optimal,22860,413.10,2128374851,9862552,0.00%
ulysses22,31,5,maxsat,AN,50319.0,388819.0,Yes,Feasible,27580,1459.97,6297667363,108787122,1.29%
ulysses22,31,5,maxsat,BDD,269768.0,827989.0,Yes,Feasible,19604,2235.33,18744410092,98114174,42.50%
ulysses22,31,5,maxsat,BM,323221.0,727899.0,No,Optimal,27936,1726.24,6870514391,56124190,0.00%
ulysses22,31,5,mip,MIP,,,Yes,Feasible,26970,3600.00,,,3.58%
ulysses22,31,5,maxsat,SN,620838.0,977743.0,Yes,Feasible,16540,1171.05,15682906982,85423375,68.90%
ulysses22,31,5,maxsat,SWC,411840.0,1632550.0,No,Optimal,27936,804.05*,3994057328,18951205,0.00%
bays29,14,3,maxsat,AN,63825.0,346121.0,Yes,Feasible,35207,378.76,8752256381,87551259,92.84%
bays29,14,3,maxsat,BDD,175929.0,556410.0,Yes,Unsolved,,0.00,15180448560,89987426,
bays29,14,3,maxsat,BM,218724.0,533242.0,Yes,Feasible,36176,1379.74,10537395656,89722589,87.67%
bays29,14,3,mip,MIP,,,Yes,Feasible,61209*,3600.00,,,10.92%
bays29,14,3,maxsat,SN,359475.0,636422.0,Yes,Feasible,36053,2849.97,12565466429,74622318,88.31%
bays29,14,3,maxsat,SWC,251821.0,983006.0,Yes,Feasible,59951,1214.54,9476001132,44469726,13.25%
bays29,21,4,maxsat,AN,55908.0,436995.0,Yes,Feasible,28890,602.12,9434864494,101782869,237.19%
bays29,21,4,maxsat,BDD,276343.0,867562.0,Yes,Unsolved,,0.00,18337470143,100948387,
bays29,21,4,maxsat,BM,348721.0,797746.0,Yes,Unsolved,,0.00,12320176242,106167505,
bays29,21,4,mip,MIP,,,Yes,Feasible,83872*,3600.00,,,16.14%
bays29,21,4,maxsat,SN,625374.0,1011085.0,Yes,Unsolved,,0.00,14762386475,83937153,
bays29,21,4,maxsat,SWC,419815.0,1681533.0,Yes,Feasible,27450,391.80,16305097856,69031135,254.87%
bays29,28,6,maxsat,AN,66242.0,612164.0,Yes,Unsolved,,0.00,11247105521,112878282,
bays29,28,6,maxsat,BDD,400892.0,1262022.0,Yes,Unsolved,,0.00,19904683196,101608558,
bays29,28,6,maxsat,BM,491924.0,1134124.0,Yes,Unsolved,,0.00,13271556923,89346335,
bays29,28,6,mip,MIP,,,Yes,Feasible,118323*,3600.00,,,15.22%
bays29,28,6,maxsat,SN,913014.0,1452150.0,Yes,Unsolved,,0.00,15986186193,95088015,
bays29,28,6,maxsat,SWC,610138.0,2462700.0,Yes,Unsolved,,0.00,19352412382,69135144,
bays29,35,7,maxsat,AN,81992.0,757447.0,Yes,Unsolved,,0.00,12484761113,121469055,
bays29,35,7,maxsat,BDD,527730.0,1653139.0,Yes,Unsolved,,0.00,20780072445,104888805,
bays29,35,7,maxsat,BM,624332.0,1430516.0,Yes,Unsolved,,0.00,14426524035,96266978,
bays29,35,7,mip,MIP,,,Yes,Feasible,141407*,3600.00,,,19.38%
bays29,35,7,maxsat,SN,1179826.0,1867260.0,Yes,Unsolved,,0.00,17240191070,106869367,
bays29,35,7,maxsat,SWC,804910.0,3241923.0,Yes,Unsolved,,0.00,23136462486,66244850,
bays29,42,8,maxsat,AN,95382.0,885091.0,Yes,Unsolved,,0.00,13327114267,127229448,
bays29,42,8,maxsat,BDD,623085.0,1950950.0,Yes,Unsolved,,0.00,21219548785,104928756,
bays29,42,8,maxsat,BM,734725.0,1680354.0,Yes,Unsolved,,0.00,15258747682,103957558,
bays29,42,8,mip,MIP,,,Yes,Feasible,165906*,3600.01,,,19.54%
bays29,42,8,maxsat,SN,1399427.0,2212098.0,Yes,Unsolved,,0.00,17868910228,112019521,
bays29,42,8,maxsat,SWC,955789.0,3847221.0,Yes,Unsolved,,0.00,23997649561,68945038,
P-n16-k8,8,2,maxsat,AN,23369.0,128207.0,Yes,Feasible,26299,12.04,4649109573,102181595,10.36%
P-n16-k8,8,2,maxsat,BDD,80310.0,242596.0,No,Optimal,29024,1655.55,6312787961,50045889,0.00%
P-n16-k8,8,2,maxsat,BM,99289.0,223622.0,No,Optimal,29024,987.26,3372362406,37734139,0.00%
P-n16-k8,8,2,mip,MIP,,,No,Optimal,29024,163.54*,,,0.00%
P-n16-k8,8,2,maxsat,SN,151596.0,252050.0,No,Optimal,29024,2504.99,8130241102,63483776,0.00%
P-n16-k8,8,2,maxsat,SWC,118372.0,456369.0,No,Optimal,29024,327.74,1586725746,8565023,0.00%
P-n16-k8,11,3,maxsat,AN,16762.0,148892.0,Yes,Feasible,34074,95.46,4354122692,111412070,360879.05%
P-n16-k8,11,3,maxsat,BDD,104290.0,315594.0,Yes,Feasible,38129,2555.38,10140279240,71950819,322489.11%
P-n16-k8,11,3,maxsat,BM,131631.0,288400.0,Yes,Feasible,38486*,1017.44,3615397017,29604845,319496.74%
P-n16-k8,11,3,mip,MIP,,,Yes,Feasible,37634,3600.00,,,326732.12%
P-n16-k8,11,3,maxsat,SN,232515.0,355977.0,Yes,Feasible,38267,2203.44,8704802187,61342787,321325.77%
P-n16-k8,11,3,maxsat,SWC,162569.0,644306.0,Yes,Feasible,38267,662.63,3891070743,18303733,321325.77%
P-n16-k8,15,3,maxsat,AN,17280.0,153564.0,Yes,Feasible,48767,1069.67,5669996462,121228391,252119.74%
P-n16-k8,15,3,maxsat,BDD,112576.0,340503.0,Yes,Feasible,48259,3404.66,11970020190,79122725,254774.74%
P-n16-k8,15,3,maxsat,BM,137179.0,301215.0,Yes,Feasible,51601,2896.43,4879689252,43217388,238267.47%
P-n16-k8,15,3,mip,MIP,,,Yes,Feasible,51891*,3600.00,,,236935.32%
P-n16-k8,15,3,maxsat,SN,242073.0,370436.0,Yes,Feasible,48449,3298.28,10155393933,68073606,253775.21%
P-n16-k8,15,3,maxsat,SWC,178487.0,707141.0,Yes,Feasible,51842,1936.45,5335817629,24656889,237159.36%
P-n16-k8,19,4,maxsat,AN,24863.0,222295.0,Yes,Feasible,49285,1613.16,6300841866,100874408,39.79%
P-n16-k8,19,4,maxsat,BDD,176052.0,531945.0,Yes,Feasible,34296,1901.01,17095347826,96588671,100.88%
P-n16-k8,19,4,maxsat,BM,209128.0,454232.0,Yes,Feasible,48365,2803.19,10860341671,84339992,42.45%
P-n16-k8,19,4,mip,MIP,,,Yes,Feasible,63776,3600.00,,,8.03%
P-n16-k8,19,4,maxsat,SN,359137.0,548634.0,Yes,Feasible,18045,162.02,13523835538,87158943,281.80%
P-n16-k8,19,4,maxsat,SWC,278452.0,1103282.0,Yes,Feasible,64295*,1715.05,11418239443,50838345,7.15%
P-n16-k8,22,5,maxsat,AN,31230.0,279878.0,Yes,Feasible,45749,1046.38,8020344542,116596490,73.12%
P-n16-k8,22,5,maxsat,BDD,221841.0,670613.0,Yes,Feasible,14261,99.46,18710130580,101726533,455.37%
P-n16-k8,22,5,maxsat,BM,261582.0,569153.0,Yes,Feasible,14738,30.89,12114054439,91985591,437.40%
P-n16-k8,22,5,mip,MIP,,,Yes,Feasible,73175*,3600.00,,,8.24%
P-n16-k8,22,5,maxsat,SN,458909.0,701032.0,Yes,Feasible,14347,126.58,14520243696,95362661,452.04%
P-n16-k8,22,5,maxsat,SWC,351780.0,1393540.0,Yes,Feasible,54892,1386.36,18835203348,68444164,44.29%
