stage,"(|R|,|T|,|k|)",method,config,tLimit,consumed,timeout,status,objective,time,restarts,conflicts,gap,gap_N
1,"(4,2,2)",maxsat,Asm-Cpx,11.87,0.1,No,Optimal,17215,0.07,673,3265,0.00%,1819.30%
1,"(4,2,2)",maxsat,Asm-Uni,60.0,0.1,No,Optimal,17215,0.08,673,3265,0.00%,1819.30%
1,"(4,2,2)",mip,MIP-Cpx,11.87,0.84,No,Optimal,17215,0.06,,,0.00%,1819.30%
1,"(4,2,2)",mip,MIP-Uni,60.0,0.85,No,Optimal,17215,0.07,,,0.00%,1819.30%
1,"(4,2,2)",maxsat,PhG-Cpx,11.87,0.1,No,Optimal,17215,0.07,673,3265,0.00%,1819.30%
1,"(4,2,2)",maxsat,PhG-Uni,60.0,0.1,No,Optimal,17215,0.08,673,3265,0.00%,1819.30%
2,"(5,2,2)",maxsat,Asm-Cpx,12.08,12.09,Yes,Optimal,17393,0.01,11415637,183,51.86%,1799.66%
2,"(5,2,2)",maxsat,Asm-Uni,61.02,61.04,Yes,Optimal,17393,0.02,57149799,183,51.86%,1799.66%
2,"(5,2,2)",mip,MIP-Cpx,12.08,0.35,No,Optimal,26413,0.35,,,0.00%,1150.93%
2,"(5,2,2)",mip,MIP-Uni,61.0,0.35,No,Optimal,26413,0.35,,,0.00%,1150.93%
2,"(5,2,2)",maxsat,PhG-Cpx,12.08,0.14,No,Optimal,26413,0.05,699,2540,0.00%,1150.93%
2,"(5,2,2)",maxsat,PhG-Uni,61.02,0.13,No,Optimal,26413,0.04,699,2540,0.00%,1150.93%
3,"(6,2,2)",maxsat,Asm-Cpx,12.26,12.13,Yes,Optimal,17393,10.68,8259872,12,51.86%,1799.66%
3,"(6,2,2)",maxsat,Asm-Uni,61.01,61.07,Yes,Feasible,17393,53.52,42046145,12,51.86%,1799.66%
3,"(6,2,2)",mip,MIP-Cpx,12.29,6.75,No,Optimal,26413,6.75,,,0.00%,1150.93%
3,"(6,2,2)",mip,MIP-Uni,62.05,8.65,No,Optimal,26413,8.65,,,0.00%,1150.93%
3,"(6,2,2)",maxsat,PhG-Cpx,12.3,0.21,No,Optimal,26413,0.16,1297,5915,0.00%,1150.93%
3,"(6,2,2)",maxsat,PhG-Uni,62.07,0.19,No,Optimal,26413,0.16,1297,5915,0.00%,1150.93%
4,"(7,2,2)",maxsat,Asm-Cpx,12.43,11.97,Yes,Optimal,17393,10.57,8105510,23,88.16%,1799.66%
4,"(7,2,2)",maxsat,Asm-Uni,61.01,61.06,Yes,Optimal,17393,53.05,42149039,23,88.16%,1799.66%
4,"(7,2,2)",mip,MIP-Cpx,12.49,12.0,Yes,Feasible,32726,1.4,,,0.00%,909.62%
4,"(7,2,2)",mip,MIP-Uni,62.99,12.38,No,Optimal,32726,1.38,,,0.00%,909.62%
4,"(7,2,2)",maxsat,PhG-Cpx,12.51,0.31,No,Optimal,32726,0.18,1916,8075,0.00%,909.62%
4,"(7,2,2)",maxsat,PhG-Uni,63.15,0.27,No,Optimal,32726,0.17,1916,8075,0.00%,909.62%
5,"(8,2,2)",maxsat,Asm-Cpx,12.61,12.13,Yes,Optimal,17393,10.47,8374608,77,112.28%,1799.66%
5,"(8,2,2)",maxsat,Asm-Uni,61.01,61.0,Yes,Optimal,17393,53.48,42473128,77,112.28%,1799.66%
5,"(8,2,2)",mip,MIP-Cpx,12.67,12.0,No,Optimal,32726,12.0,,,12.82%,909.62%
5,"(8,2,2)",mip,MIP-Uni,63.89,19.31,No,Optimal,36922,12.43,,,0.00%,794.88%
5,"(8,2,2)",maxsat,PhG-Cpx,12.73,0.29,No,Optimal,36922,0.15,1489,7955,0.00%,794.88%
5,"(8,2,2)",maxsat,PhG-Uni,64.27,0.27,No,Optimal,36922,0.15,1489,7955,0.00%,794.88%
