stage,"(|R|,|T|,|k|)",method,config,tLimit,consumed,timeout,status,objective,time,restarts,conflicts,gap,gap_N
6,"(9,2,2)",maxsat,Asm-Cpx,12.78,12.03,Yes,Optimal,17393,10.54,8430492,86,139.04%,1799.66%
6,"(9,2,2)",maxsat,Asm-Uni,61.01,61.06,Yes,Optimal,17393,53.47,42365196,86,139.04%,1799.66%
6,"(9,2,2)",mip,MIP-Cpx,12.84,12.0,No,Optimal,37381,5.28,,,11.22%,783.89%
6,"(9,2,2)",mip,MIP-Uni,64.7,14.47,No,Optimal,41577,5.14,,,0.00%,694.69%
6,"(9,2,2)",maxsat,PhG-Cpx,12.95,0.29,No,Optimal,41577,0.15,1750,7416,0.00%,694.69%
6,"(9,2,2)",maxsat,PhG-Uni,65.44,0.26,No,Optimal,41577,0.15,1750,7416,0.00%,694.69%
7,"(10,2,2)",maxsat,Asm-Cpx,12.96,11.97,Yes,Feasible,17393,10.55,8086905,113,179.66%,1799.66%
7,"(10,2,2)",maxsat,Asm-Uni,61.01,61.24,Yes,Optimal,17393,53.28,42304145,113,179.66%,1799.66%
7,"(10,2,2)",mip,MIP-Cpx,13.02,13.0,Yes,Feasible,44446,5.12,,,9.44%,643.39%
7,"(10,2,2)",mip,MIP-Uni,65.63,19.91,No,Optimal,48642,17.97,,,0.00%,579.26%
7,"(10,2,2)",maxsat,PhG-Cpx,13.18,0.3,No,Optimal,48642,0.07,1921,8010,0.00%,579.26%
7,"(10,2,2)",maxsat,PhG-Uni,66.64,0.27,No,Optimal,48642,0.07,1921,8010,0.00%,579.26%
8,"(11,2,2)",maxsat,Asm-Cpx,13.14,12.99,Yes,Optimal,17393,11.45,9045247,149,209.91%,1799.66%
8,"(11,2,2)",maxsat,Asm-Uni,61.01,60.99,Yes,Optimal,17393,53.11,42747907,149,209.91%,1799.66%
8,"(11,2,2)",mip,MIP-Cpx,13.2,13.0,Yes,Feasible,44890,7.28,,,20.08%,636.04%
8,"(11,2,2)",mip,MIP-Uni,66.49,27.44,No,Optimal,53902,20.23,,,0.00%,512.98%
8,"(11,2,2)",maxsat,PhG-Cpx,13.4,0.25,No,Optimal,53902,0.14,1641,8159,0.00%,512.98%
8,"(11,2,2)",maxsat,PhG-Uni,67.9,0.23,No,Optimal,53902,0.15,1641,8159,0.00%,512.98%
9,"(11,3,2)",maxsat,Asm-Cpx,19.71,19.18,Yes,Optimal,28469,0.03,12520428,1415,92.37%,1060.59%
9,"(11,3,2)",maxsat,Asm-Uni,61.01,61.08,Yes,Optimal,28469,0.02,39782880,1415,92.37%,1060.59%
9,"(11,3,2)",mip,MIP-Cpx,19.8,19.0,No,Optimal,45807,8.69,,,19.56%,621.30%
9,"(11,3,2)",mip,MIP-Uni,67.24,67.0,Yes,Feasible,53902,67.0,,,1.60%,512.98%
9,"(11,3,2)",maxsat,PhG-Cpx,20.18,0.57,No,Optimal,54766,0.35,2870,14148,0.00%,503.31%
9,"(11,3,2)",maxsat,PhG-Uni,69.2,0.54,No,Optimal,54766,0.34,2870,14148,0.00%,503.31%
10,"(12,3,2)",maxsat,Asm-Cpx,19.98,19.4,Yes,Optimal,35385,0.02,11798040,148,74.32%,833.75%
10,"(12,3,2)",maxsat,Asm-Uni,61.01,61.14,Yes,Optimal,35385,0.02,38009707,148,74.32%,833.75%
10,"(12,3,2)",mip,MIP-Cpx,20.07,20.01,Yes,Feasible,46038,18.45,,,33.98%,617.68%
10,"(12,3,2)",mip,MIP-Uni,67.25,67.01,Yes,Feasible,60818,67.01,,,1.42%,443.27%
10,"(12,3,2)",maxsat,PhG-Cpx,20.56,0.72,No,Optimal,61682,0.19,3009,17578,0.00%,435.66%
10,"(12,3,2)",maxsat,PhG-Uni,70.54,0.71,No,Optimal,61682,0.18,3009,17578,0.00%,435.66%
11,"(13,3,2)",maxsat,Asm-Cpx,20.24,20.04,Yes,Optimal,35385,18.13,10514100,163,88.12%,833.75%
11,"(13,3,2)",maxsat,Asm-Uni,61.0,61.12,Yes,Optimal,35385,55.31,30436538,163,88.12%,833.75%
11,"(13,3,2)",mip,MIP-Cpx,20.33,20.01,Yes,Feasible,46038,20.01,,,44.59%,617.68%
11,"(13,3,2)",mip,MIP-Uni,67.25,67.01,Yes,Feasible,66568,10.84,,,0.00%,396.35%
11,"(13,3,2)",maxsat,PhG-Cpx,20.95,0.87,No,Optimal,66568,0.57,3704,18970,0.00%,396.35%
11,"(13,3,2)",maxsat,PhG-Uni,71.94,0.88,No,Optimal,66568,0.57,3704,18970,0.00%,396.35%
12,"(14,3,2)",maxsat,Asm-Cpx,20.51,20.11,Yes,Optimal,35385,18.08,10568933,188,112.16%,833.75%
12,"(14,3,2)",maxsat,Asm-Uni,61.0,61.16,Yes,Optimal,35385,55.12,32009740,188,112.16%,833.75%
12,"(14,3,2)",mip,MIP-Cpx,20.6,20.01,No,Optimal,47313,18.32,,,58.68%,598.34%
12,"(14,3,2)",mip,MIP-Uni,67.26,67.01,Yes,Feasible,75074,67.01,,,0.00%,340.11%
12,"(14,3,2)",maxsat,PhG-Cpx,21.34,0.84,No,Optimal,75074,0.31,3393,21110,0.00%,340.11%
12,"(14,3,2)",maxsat,PhG-Uni,73.39,0.85,No,Optimal,75074,0.32,3393,21110,0.00%,340.11%
13,"(15,3,2)",maxsat,Asm-Cpx,20.77,20.26,Yes,Optimal,41003,0.02,10432825,154,96.80%,705.81%
13,"(15,3,2)",maxsat,Asm-Uni,61.0,60.22,Yes,Optimal,41003,0.02,32432132,154,96.80%,705.81%
13,"(15,3,2)",mip,MIP-Cpx,20.87,20.01,No,Optimal,56716,18.5,,,42.27%,482.56%
13,"(15,3,2)",mip,MIP-Uni,67.26,67.01,Yes,Feasible,80692,67.01,,,0.00%,309.47%
13,"(15,3,2)",maxsat,PhG-Cpx,21.74,0.85,No,Optimal,80692,0.24,3412,20340,0.00%,309.47%
13,"(15,3,2)",maxsat,PhG-Uni,74.9,0.82,No,Optimal,80692,0.24,3412,20340,0.00%,309.47%
14,"(16,3,2)",maxsat,Asm-Cpx,21.04,21.09,Yes,Optimal,52527,0.02,10406961,127,69.30%,529.02%
14,"(16,3,2)",maxsat,Asm-Uni,61.02,61.17,Yes,Optimal,52527,0.02,29904316,127,69.30%,529.02%
14,"(16,3,2)",mip,MIP-Cpx,21.14,21.01,Yes,Feasible,64221,12.49,,,38.47%,414.48%
14,"(16,3,2)",mip,MIP-Uni,67.27,67.01,Yes,Feasible,80692,67.01,,,10.21%,309.47%
14,"(16,3,2)",maxsat,PhG-Cpx,22.14,1.12,No,Optimal,88928,0.76,3581,27287,0.00%,271.54%
14,"(16,3,2)",maxsat,PhG-Uni,76.48,1.05,No,Optimal,88928,0.75,3581,27287,0.00%,271.54%
15,"(17,3,2)",maxsat,Asm-Cpx,21.3,21.19,Yes,Optimal,59616,0.02,10322948,104,60.57%,454.23%
15,"(17,3,2)",maxsat,Asm-Uni,61.01,61.19,Yes,Optimal,59616,0.03,29706841,104,60.57%,454.23%
15,"(17,3,2)",mip,MIP-Cpx,21.4,21.01,Yes,Feasible,78610,19.21,,,21.78%,320.31%
15,"(17,3,2)",mip,MIP-Uni,67.27,67.01,Yes,Feasible,95728,12.59,,,0.00%,245.15%
15,"(17,3,2)",maxsat,PhG-Cpx,22.55,1.04,No,Optimal,95728,0.39,3934,25926,0.00%,245.15%
15,"(17,3,2)",maxsat,PhG-Uni,78.12,0.98,No,Optimal,95728,0.4,3934,25926,0.00%,245.15%
16,"(18,3,2)",maxsat,Asm-Cpx,21.57,21.2,Yes,Feasible,59616,19.26,10196503,106,69.52%,454.23%
16,"(18,3,2)",maxsat,Asm-Uni,61.01,61.17,Yes,Optimal,59616,55.78,29339529,106,69.52%,454.23%
16,"(18,3,2)",mip,MIP-Cpx,21.67,21.01,No,Optimal,83945,21.01,,,20.39%,293.60%
16,"(18,3,2)",mip,MIP-Uni,67.28,67.01,Yes,Feasible,101063,12.66,,,0.00%,226.93%
16,"(18,3,2)",maxsat,PhG-Cpx,22.97,1.34,No,Optimal,101063,0.44,4233,31850,0.00%,226.93%
16,"(18,3,2)",maxsat,PhG-Uni,79.83,1.26,No,Optimal,101063,0.44,4233,31850,0.00%,226.93%
17,"(18,4,2)",maxsat,Asm-Cpx,28.76,28.26,Yes,Optimal,80223,0.04,12280697,1168,25.98%,311.86%
17,"(18,4,2)",maxsat,Asm-Uni,61.0,61.25,Yes,Optimal,80223,0.04,26077315,1168,25.98%,311.86%
17,"(18,4,2)",mip,MIP-Cpx,28.89,28.01,No,Optimal,83945,28.01,,,20.39%,293.60%
17,"(18,4,2)",mip,MIP-Uni,67.29,67.01,Yes,Feasible,101063,67.01,,,0.00%,226.93%
17,"(18,4,2)",maxsat,PhG-Cpx,30.81,4.28,No,Optimal,101063,3.97,6573,66385,0.00%,226.93%
17,"(18,4,2)",maxsat,PhG-Uni,81.62,4.14,No,Optimal,101063,3.93,6573,66385,0.00%,226.93%
18,"(19,4,2)",maxsat,Asm-Cpx,29.11,29.28,Yes,Optimal,85753,0.02,12933701,41,23.07%,285.30%
18,"(19,4,2)",maxsat,Asm-Uni,61.0,60.19,Yes,Optimal,85753,0.03,26825310,41,23.07%,285.30%
18,"(19,4,2)",mip,MIP-Cpx,29.25,29.01,Yes,Feasible,89095,26.37,,,18.46%,270.85%
18,"(19,4,2)",mip,MIP-Uni,67.29,67.01,Yes,Feasible,105538,19.63,,,0.00%,213.07%
18,"(19,4,2)",maxsat,PhG-Cpx,31.41,4.41,Yes,Optimal,105538,1.95,6834,75221,0.00%,213.07%
18,"(19,4,2)",maxsat,PhG-Uni,83.42,5.67,Yes,Optimal,105538,1.9,6834,75221,0.00%,213.07%
19,"(20,4,2)",maxsat,Asm-Cpx,29.46,29.22,Yes,Feasible,85753,26.84,11486184,60,27.28%,285.30%
19,"(20,4,2)",maxsat,Asm-Uni,61.02,61.32,Yes,Feasible,85753,56.42,24052089,60,27.28%,285.30%
19,"(20,4,2)",mip,MIP-Cpx,29.61,29.01,No,Optimal,89095,29.01,,,22.51%,270.85%
19,"(20,4,2)",mip,MIP-Uni,67.3,67.01,Yes,Feasible,109127,19.0,,,0.02%,202.77%
19,"(20,4,2)",maxsat,PhG-Cpx,32.03,27.63,No,Optimal,109150,26.22,13251,216332,0.00%,202.71%
19,"(20,4,2)",maxsat,PhG-Uni,85.27,25.14,No,Optimal,109150,25.09,13251,216332,0.00%,202.71%
20,"(21,4,2)",maxsat,Asm-Cpx,29.82,29.27,Yes,Optimal,85753,27.06,11434077,114,31.78%,285.30%
20,"(21,4,2)",maxsat,Asm-Uni,61.01,61.39,Yes,Optimal,85753,56.49,22556606,114,31.78%,285.30%
20,"(21,4,2)",mip,MIP-Cpx,29.97,29.01,No,Optimal,89095,29.01,,,26.84%,270.85%
20,"(21,4,2)",mip,MIP-Uni,67.31,67.01,Yes,Feasible,112986,27.17,,,0.02%,192.43%
20,"(21,4,2)",maxsat,PhG-Cpx,32.46,32.42,Yes,Feasible,113009,30.26,11439,251214,0.00%,192.37%
20,"(21,4,2)",maxsat,PhG-Uni,86.74,37.44,No,Optimal,113009,28.56,14014,282244,0.00%,192.37%
21,"(22,4,2)",maxsat,Asm-Cpx,30.17,30.3,Yes,Optimal,85753,28.04,11618178,130,38.23%,285.30%
21,"(22,4,2)",maxsat,Asm-Uni,61.0,61.15,Yes,Optimal,85753,56.45,24056584,130,38.23%,285.30%
21,"(22,4,2)",mip,MIP-Cpx,30.33,30.01,Yes,Feasible,89095,30.01,,,33.04%,270.85%
21,"(22,4,2)",mip,MIP-Uni,67.31,67.01,Yes,Feasible,118511,56.44,,,0.02%,178.80%
21,"(22,4,2)",maxsat,PhG-Cpx,32.84,32.39,Yes,Feasible,118534,22.41,14241,241248,0.00%,178.74%
21,"(22,4,2)",maxsat,PhG-Uni,87.97,32.12,No,Optimal,118534,21.59,14524,241679,0.00%,178.74%
22,"(23,4,2)",maxsat,Asm-Cpx,30.52,30.29,Yes,Optimal,85753,27.75,11789143,154,48.06%,285.30%
22,"(23,4,2)",maxsat,Asm-Uni,61.0,60.45,Yes,Optimal,85753,55.16,23776856,154,48.06%,285.30%
22,"(23,4,2)",mip,MIP-Cpx,30.68,31.44,Yes,Feasible,100293,22.49,,,26.60%,229.44%
22,"(23,4,2)",mip,MIP-Uni,67.32,67.01,Yes,Feasible,121158,28.19,,,4.80%,172.71%
22,"(23,4,2)",maxsat,PhG-Cpx,33.22,33.37,Yes,Feasible,126660,20.14,11096,248901,0.24%,160.86%
22,"(23,4,2)",maxsat,PhG-Uni,89.4,50.94,No,Optimal,126970,49.94,16350,331547,0.00%,160.22%
23,"(24,4,2)",maxsat,Asm-Cpx,30.87,30.33,Yes,Feasible,85753,27.86,11335964,191,50.76%,285.30%
23,"(24,4,2)",maxsat,Asm-Uni,61.01,61.3,Yes,Optimal,85753,56.91,23575744,191,50.76%,285.30%
23,"(24,4,2)",mip,MIP-Cpx,31.03,31.01,Yes,Feasible,105723,22.61,,,22.28%,212.52%
23,"(24,4,2)",mip,MIP-Uni,67.33,67.01,Yes,Feasible,121181,31.49,,,6.68%,172.66%
23,"(24,4,2)",maxsat,PhG-Cpx,33.6,33.4,Yes,Feasible,128785,30.94,7934,274516,0.38%,156.56%
23,"(24,4,2)",maxsat,PhG-Uni,90.41,91.28,Yes,Feasible,129278,35.66,14030,536813,0.00%,155.58%
24,"(24,5,2)",maxsat,Asm-Cpx,38.6,38.35,Yes,Optimal,101948,0.06,14109985,1388,26.81%,224.09%
24,"(24,5,2)",maxsat,Asm-Uni,61.0,61.4,Yes,Optimal,101948,0.05,22883316,1388,26.81%,224.09%
24,"(24,5,2)",mip,MIP-Cpx,38.79,38.07,No,Optimal,118888,32.12,,,8.74%,177.91%
24,"(24,5,2)",mip,MIP-Uni,67.34,67.01,Yes,Feasible,128298,29.87,,,0.76%,157.53%
24,"(24,5,2)",maxsat,PhG-Cpx,42.01,42.58,Yes,Feasible,128785,42.02,6064,258791,0.38%,156.56%
24,"(24,5,2)",maxsat,PhG-Uni,90.39,92.34,Yes,Feasible,129278,91.14,9313,506800,0.00%,155.58%
25,"(24,5,3)",maxsat,Asm-Cpx,52.64,52.48,Yes,Optimal,101948,48.56,18452802,83,26.86%,224.09%
25,"(24,5,3)",maxsat,Asm-Uni,60.99,60.37,Yes,Optimal,101948,56.1,21570557,83,26.86%,224.09%
25,"(24,5,3)",mip,MIP-Cpx,52.9,52.01,No,Optimal,119602,36.8,,,8.14%,176.26%
25,"(24,5,3)",mip,MIP-Uni,67.35,67.01,Yes,Feasible,129336,35.5,,,0.00%,155.46%
25,"(24,5,3)",maxsat,PhG-Cpx,57.27,57.57,Yes,Feasible,128785,57.01,6487,374259,0.43%,156.56%
25,"(24,5,3)",maxsat,PhG-Uni,90.34,89.5,Yes,Feasible,129278,89.97,7143,463936,0.04%,155.58%
26,"(25,5,3)",maxsat,Asm-Cpx,53.08,53.46,Yes,Optimal,101948,49.47,18912599,124,29.56%,224.09%
26,"(25,5,3)",maxsat,Asm-Uni,61.01,61.4,Yes,Optimal,101948,56.78,22067501,124,29.56%,224.09%
26,"(25,5,3)",mip,MIP-Cpx,53.36,53.01,Yes,Feasible,123961,36.25,,,6.55%,166.54%
26,"(25,5,3)",mip,MIP-Uni,67.36,67.01,Yes,Feasible,130112,36.16,,,1.52%,153.94%
26,"(25,5,3)",maxsat,PhG-Cpx,57.75,57.55,Yes,Feasible,131418,4.18,6677,356588,0.51%,151.42%
26,"(25,5,3)",maxsat,PhG-Uni,90.36,91.18,Yes,Feasible,132085,85.75,8363,537362,0.00%,150.15%
27,"(26,5,3)",maxsat,Asm-Cpx,53.51,53.36,Yes,Optimal,101948,49.48,16553244,142,39.48%,224.09%
27,"(26,5,3)",maxsat,Asm-Uni,61.0,60.33,Yes,Optimal,101948,56.3,20097414,142,39.48%,224.09%
27,"(26,5,3)",mip,MIP-Cpx,53.81,53.01,No,Optimal,124207,36.36,,,14.48%,166.01%
27,"(26,5,3)",mip,MIP-Uni,67.37,67.01,Yes,Feasible,139695,36.71,,,1.79%,136.52%
27,"(26,5,3)",maxsat,PhG-Cpx,58.23,58.67,Yes,Feasible,142197,1.95,7141,379108,0.00%,132.36%
27,"(26,5,3)",maxsat,PhG-Uni,90.34,91.52,Yes,Feasible,141941,11.51,7876,498739,0.18%,132.78%
28,"(27,5,3)",maxsat,Asm-Cpx,53.95,53.62,Yes,Feasible,101948,49.66,17285352,160,45.40%,224.09%
28,"(27,5,3)",maxsat,Asm-Uni,61.02,61.5,Yes,Optimal,101948,56.92,20380254,160,45.40%,224.09%
28,"(27,5,3)",mip,MIP-Cpx,54.26,54.01,Yes,Feasible,124207,54.01,,,19.35%,166.01%
28,"(27,5,3)",mip,MIP-Uni,67.38,67.01,Yes,Feasible,140676,35.65,,,5.37%,134.87%
28,"(27,5,3)",maxsat,PhG-Cpx,58.7,58.65,Yes,Feasible,148052,2.52,7887,402575,0.12%,123.17%
28,"(27,5,3)",maxsat,PhG-Uni,90.3,88.84,Yes,Feasible,148236,14.34,8050,505477,0.00%,122.89%
29,"(28,5,3)",maxsat,Asm-Cpx,54.4,54.31,Yes,Optimal,101948,50.66,17936056,194,51.92%,224.09%
29,"(28,5,3)",maxsat,Asm-Uni,61.0,61.43,Yes,Optimal,101948,57.21,20305433,194,51.92%,224.09%
29,"(28,5,3)",mip,MIP-Cpx,54.71,54.01,No,Optimal,124207,54.01,,,24.69%,166.01%
29,"(28,5,3)",mip,MIP-Uni,67.39,67.23,Yes,Feasible,140676,67.23,,,10.09%,134.87%
29,"(28,5,3)",maxsat,PhG-Cpx,59.17,59.73,Yes,Feasible,154876,22.08,7317,395760,0.00%,113.34%
29,"(28,5,3)",maxsat,PhG-Uni,90.35,91.54,Yes,Feasible,154786,2.81,9521,520300,0.06%,113.46%
30,"(29,5,3)",maxsat,Asm-Cpx,54.84,54.48,Yes,Feasible,106908,0.05,18102366,184,49.70%,209.06%
30,"(29,5,3)",maxsat,Asm-Uni,60.99,60.48,Yes,Optimal,106908,0.05,19951163,184,49.70%,209.06%
30,"(29,5,3)",mip,MIP-Cpx,55.16,55.01,Yes,Feasible,135692,50.53,,,17.95%,143.50%
30,"(29,5,3)",mip,MIP-Uni,67.4,69.15,Yes,Feasible,145842,51.34,,,9.74%,126.55%
30,"(29,5,3)",maxsat,PhG-Cpx,59.64,59.65,Yes,Feasible,160046,12.11,7770,403734,0.00%,106.45%
30,"(29,5,3)",maxsat,PhG-Uni,90.31,91.69,Yes,Feasible,160016,6.44,9565,521201,0.02%,106.48%
31,"(30,5,3)",maxsat,Asm-Cpx,55.29,55.44,Yes,Optimal,106908,51.69,17286825,200,53.91%,209.06%
31,"(30,5,3)",maxsat,Asm-Uni,61.01,61.52,Yes,Optimal,106908,57.32,19049172,200,53.91%,209.06%
31,"(30,5,3)",mip,MIP-Cpx,55.61,55.01,No,Optimal,140268,53.4,,,17.30%,135.55%
31,"(30,5,3)",mip,MIP-Uni,67.34,67.01,Yes,Feasible,150757,50.77,,,9.14%,119.17%
31,"(30,5,3)",maxsat,PhG-Cpx,60.12,60.65,Yes,Feasible,164539,9.23,7750,404688,0.00%,100.81%
31,"(30,5,3)",maxsat,PhG-Uni,90.26,89.45,Yes,Feasible,164069,14.27,9186,532360,0.29%,101.38%
32,"(30,6,3)",maxsat,Asm-Cpx,66.34,66.62,Yes,Optimal,131794,0.08,20149397,3221,24.85%,150.70%
32,"(30,6,3)",maxsat,Asm-Uni,60.99,60.59,Yes,Optimal,131794,0.08,18149098,3221,24.85%,150.70%
32,"(30,6,3)",mip,MIP-Cpx,66.75,66.01,No,Optimal,150319,33.25,,,9.46%,119.80%
32,"(30,6,3)",mip,MIP-Uni,67.35,67.01,Yes,Feasible,159545,52.31,,,3.13%,107.09%
32,"(30,6,3)",maxsat,PhG-Cpx,72.13,72.76,Yes,Feasible,164539,71.78,6467,452680,0.00%,100.81%
32,"(30,6,3)",maxsat,PhG-Uni,90.29,91.49,Yes,Feasible,164376,43.63,6690,541860,0.10%,101.01%
33,"(31,6,3)",maxsat,Asm-Cpx,66.86,66.67,Yes,Optimal,143371,0.06,20102630,143,19.63%,130.46%
33,"(31,6,3)",maxsat,Asm-Uni,61.0,61.55,Yes,Feasible,143371,0.06,18660945,143,19.63%,130.46%
33,"(31,6,3)",mip,MIP-Cpx,67.29,67.01,Yes,Feasible,157213,49.44,,,9.09%,110.17%
33,"(31,6,3)",mip,MIP-Uni,67.36,67.01,Yes,Feasible,163912,54.72,,,4.64%,101.58%
33,"(31,6,3)",maxsat,PhG-Cpx,72.68,72.8,Yes,Feasible,170782,6.3,6319,443400,0.43%,93.47%
33,"(31,6,3)",maxsat,PhG-Uni,90.25,91.57,Yes,Feasible,171511,80.52,7415,481941,0.00%,92.64%
34,"(32,6,3)",maxsat,Asm-Cpx,67.39,67.7,Yes,Feasible,143371,63.27,19324766,139,26.28%,130.46%
34,"(32,6,3)",maxsat,Asm-Uni,60.98,60.74,Yes,Feasible,143371,56.85,17081929,139,26.28%,130.46%
34,"(32,6,3)",mip,MIP-Cpx,67.83,67.01,No,Optimal,157686,51.98,,,14.82%,109.53%
34,"(32,6,3)",mip,MIP-Uni,67.37,67.01,Yes,Feasible,164878,53.77,,,9.81%,100.39%
34,"(32,6,3)",maxsat,PhG-Cpx,73.25,73.85,Yes,Feasible,181055,59.39,6561,423546,0.00%,82.49%
34,"(32,6,3)",maxsat,PhG-Uni,90.2,89.53,Yes,Feasible,179795,73.97,6821,475118,0.70%,83.77%
35,"(33,6,3)",maxsat,Asm-Cpx,67.91,67.66,Yes,Optimal,143371,63.44,19286240,175,30.85%,130.46%
35,"(33,6,3)",maxsat,Asm-Uni,60.99,60.61,Yes,Optimal,143371,56.45,17292208,175,30.85%,130.46%
35,"(33,6,3)",mip,MIP-Cpx,68.38,68.01,Yes,Feasible,162031,53.38,,,15.78%,103.92%
35,"(33,6,3)",mip,MIP-Uni,67.39,67.01,Yes,Feasible,164878,67.01,,,13.78%,100.39%
35,"(33,6,3)",maxsat,PhG-Cpx,73.81,74.0,Yes,Feasible,187601,48.65,7251,395942,0.00%,76.12%
35,"(33,6,3)",maxsat,PhG-Uni,90.22,91.73,Yes,Feasible,186749,81.53,6285,487557,0.46%,76.93%
36,"(34,6,3)",maxsat,Asm-Cpx,68.44,68.51,Yes,Optimal,143371,64.11,19483431,206,35.37%,130.46%
36,"(34,6,3)",maxsat,Asm-Uni,61.01,61.64,Yes,Feasible,143371,57.73,17507664,206,35.37%,130.46%
36,"(34,6,3)",mip,MIP-Cpx,68.92,68.01,No,Optimal,163709,64.48,,,18.56%,101.83%
36,"(34,6,3)",mip,MIP-Uni,67.4,67.01,Yes,Feasible,173672,52.37,,,11.75%,90.25%
36,"(34,6,3)",maxsat,PhG-Cpx,74.38,74.87,Yes,Feasible,194087,11.49,6168,455707,0.00%,70.24%
36,"(34,6,3)",maxsat,PhG-Uni,90.16,89.12,Yes,Feasible,193135,27.61,7294,509362,0.49%,71.08%
37,"(35,6,3)",maxsat,Asm-Cpx,68.97,68.47,Yes,Optimal,148836,0.06,19360173,201,33.18%,121.99%
37,"(35,6,3)",maxsat,Asm-Uni,60.98,60.6,Yes,Optimal,148836,0.05,17115275,201,33.18%,121.99%
37,"(35,6,3)",mip,MIP-Cpx,69.48,69.01,Yes,Feasible,166674,63.84,,,18.92%,98.24%
37,"(35,6,3)",mip,MIP-Uni,67.42,67.01,Yes,Feasible,173672,67.01,,,14.13%,90.25%
37,"(35,6,3)",maxsat,PhG-Cpx,74.93,74.89,Yes,Feasible,198213,41.92,7630,480584,0.00%,66.69%
37,"(35,6,3)",maxsat,PhG-Uni,90.21,92.27,Yes,Feasible,198017,32.56,7949,517120,0.10%,66.86%
38,"(36,6,3)",maxsat,Asm-Cpx,69.51,69.79,Yes,Optimal,155806,0.07,19123990,226,30.02%,112.06%
